id,crc,createdAt,faultCode,faultCodeType,faultMessage,firmName,kavachSubSystemId,kavachSubSystemType,messageDate,messageLength,messageSequence,messageTime,moduleId,nmsSystemId,systemVersion,totalFaultCodes
1,CF0EF5E9,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19024,00:10:22,2,3,1,1
1,4E6CE15F,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19046,00:10:28,2,3,1,1
1,8B3BCEE9,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19047,00:10:28,1,3,1,1
1,B21A7BAF,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19074,00:10:54,2,3,1,1
1,774D5419,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19075,00:10:54,1,3,1,1
1,31AAFB29,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19082,00:11:00,2,3,1,1
1,F4FDD49F,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19083,00:11:00,1,3,1,1
1,E7A0E775,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19147,00:11:26,2,3,1,1
1,BF2BC3D0,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19148,00:11:26,1,3,1,1
1,9E7CFB55,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19170,00:11:32,2,3,1,1
1,5B2BD4E3,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19171,00:11:32,1,3,1,1
1,32D2F4A2,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19200,00:11:58,2,3,1,1
1,F785DB14,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19201,00:11:58,1,3,1,1
1,8D66F7C3,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19023,00:10:22,1,3,1,1
1,CF0EF5E9,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19024,00:10:22,2,3,1,1
1,4E6CE15F,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19046,00:10:28,2,3,1,1
1,8B3BCEE9,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19047,00:10:28,1,3,1,1
1,B21A7BAF,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19074,00:10:54,2,3,1,1
1,774D5419,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19075,00:10:54,1,3,1,1
1,31AAFB29,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19082,00:11:00,2,3,1,1
1,F4FDD49F,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19083,00:11:00,1,3,1,1
1,E7A0E775,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19147,00:11:26,2,3,1,1
1,BF2BC3D0,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19148,00:11:26,1,3,1,1
1,9E7CFB55,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19170,00:11:32,2,3,1,1
1,5B2BD4E3,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19171,00:11:32,1,3,1,1
1,32D2F4A2,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19200,00:11:58,2,3,1,1
1,F785DB14,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19201,00:11:58,1,3,1,1
1,9300B39C,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19209,00:12:04,2,3,1,1
1,22E39ADB,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19210,00:12:04,1,3,1,1
1,69358D94,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19277,00:12:30,1,3,1,1
1,D8D6A4D3,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19278,00:12:30,2,3,1,1
1,025C3E5A,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19300,00:12:36,2,3,1,1
1,C70B11EC,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19301,00:12:36,1,3,1,1
1,BF1E450B,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19335,00:13:02,2,3,1,1
1,EE347C2B,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19336,00:13:02,1,3,1,1
1,9FC70A35,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19343,00:13:08,2,3,1,1
1,DDAF081F,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19344,00:13:08,1,3,1,1
